"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17"
"X0";" 1";" 2";" 3";" 4";" 5";" 6";" 7";" 8";" 9";"10";"11";"12";"13";"14";"15";"16";"17"
"X.1";"175.848379254";"184.853971124";"175.14659214";"186.870087862";"185.064912915";"185.423919618";"184.691708207";"185.296137571";"184.318503499";"185.034488618";"184.926989436";"185.602408826";"184.675481915";"185.21094954";"183.227285385";"185.296137571";"185.442174196"
"X.1.1";"175.694229484";"180.600654423";"183.705960989";"185.432032764";"185.133874655";"184.693736494";"185.117648363";"184.776896238";"185.068969488";"185.977641821";"186.054716706";"184.922932863";"184.72416079";"185.152129233";"184.691708207";"185.073026061";"185.101422071"
"X.1.2";"184.233315468";"185.144016087";"184.845857978";"184.736330509";"184.302277207";"185.237317264";"185.166327238";"185.186610103";"185.288024426";"185.687596858";"184.898593426";"185.389438748";"185.101422071";"184.920904577";"180.574286699";"185.815378904";"184.574067593"
"X.1.3";"183.604546666";"186.214951336";"184.387465239";"184.86208427";"185.133874655";"184.876282275";"184.643029332";"185.066941202";"184.845857978";"184.641001046";"185.251515269";"185.466513634";"184.691708207";"184.86208427";"184.265768051";"184.872225702";"185.154157519"
"X.1.4";"186.939049602";"184.957413733";"177.426386118";"185.135902941";"184.744443655";"185.432032764";"185.559814811";"185.109535217";"177.767138243";"184.947272301";"185.154157519";"185.328590155";"185.62877655";"184.98175317";"183.028513312";"184.801235676";"185.08519578"
"X.1.5";"185.223119259";"185.782926321";"183.892563343";"184.05482626";"185.186610103";"184.462511837";"185.170383811";"184.931046009";"184.760669947";"185.229204118";"184.79312253";"185.152129233";"184.728217363";"185.21094954";"184.281994343";"185.056799769";"185.081139207"
"X.1.6";"184.200862885";"184.634916186";"184.249541759";"185.239345551";"185.900566936";"184.612605035";"185.064912915";"185.586182535";"177.223557472";"185.417834759";"185.101422071";"185.093308926";"184.40369153";"184.411804676";"184.86208427";"185.133874655";"185.235288978"
"X.1.7";"185.048686624";"185.125761509";"184.744443655";"184.886423707";"184.963498592";"184.377323806";"184.691708207";"185.85797292";"175.045177817";"185.423919618";"184.728217363";"184.651142478";"185.965472102";"185.08519578";"184.318503499";"185.008120894";"185.150100946"
"X.1.8";"185.01623404";"185.567927957";"184.217089176";"184.835716546";"185.608493686";"184.496992707";"185.900566936";"184.752556801";"185.730190873";"185.042601764";"185.288024426";"184.649114192";"185.166327238";"185.533447087";"185.219062686";"184.896565139";"185.154157519"
"X.1.9";"183.572094083";"184.72416079";"185.186610103";"185.290052712";"185.900566936";"184.641001046";"185.596323967";"184.98175317";"175.450835109";"185.442174196";"185.154157519";"184.675481915";"185.000007749";"185.612550259";"183.807375312";"185.166327238";"185.08519578"
"X.1.10";"184.367182374";"185.168355525";"185.154157519";"184.649114192";"184.675481915";"185.17646867";"184.233315468";"186.478628576";"175.795643806";"185.610521972";"184.691708207";"185.162270665";"185.101422071";"185.551701665";"184.675481915";"185.133874655";"185.032460332"
"X.1.11";"174.197354078";"184.588265598";"184.638972759";"184.659255624";"184.638972759";"185.186610103";"184.622746468";"185.365099311";"175.690172911";"185.383353889";"185.271798134";"185.525333941";"185.3367033";"184.539586723";"184.691708207";"184.880338848";"185.068969488"
"X.1.12";"176.339224577";"186.334620237";"185.137931228";"185.567927957";"185.117648363";"185.525333941";"184.813405395";"184.701849639";"185.612550259";"184.837744832";"184.845857978";"184.922932863";"184.643029332";"184.582180738";"185.097365499";"185.533447087";"185.507079363"
"X.1.13";"184.553784728";"184.752556801";"185.186610103";"184.707934499";"184.638972759";"185.253543556";"185.592267394";"185.799152613";"184.760669947";"184.843829691";"184.691708207";"184.929017723";"184.776896238";"185.348873019";"183.689734697";"184.683595061";"185.064912915"
"X.1.14";"184.217089176";"183.953411937";"185.596323967";"184.496992707";"185.559814811";"184.411804676";"185.661229134";"185.40566504";"184.780952811";"185.008120894";"185.239345551";"185.133874655";"185.154157519";"185.101422071";"185.101422071";"185.285996139";"185.170383811"
"X.1.15";"184.691708207";"184.752556801";"186.358959675";"185.841746628";"184.606520176";"185.833633482";"185.101422071";"185.399580181";"184.707934499";"184.797179103";"183.876337051";"184.787037671";"185.69773829";"185.010149181";"184.200862885";"184.685623348";"185.101422071"
"X.1.16";"185.62877655";"186.044575274";"185.052743196";"185.083167493";"184.691708207";"184.582180738";"185.543588519";"184.655199051";"184.744443655";"185.509107649";"185.645002842";"185.551701665";"184.813405395";"185.077082634";"178.635244846";"185.219062686";"184.707934499"
"X.1.17";"183.466623187";"185.679483712";"185.576041102";"185.091280639";"184.610576749";"184.590293884";"185.101422071";"185.951274097";"185.117648363";"184.565954447";"185.166327238";"185.127789795";"185.543588519";"184.726189077";"184.148127437";"185.381325603";"184.744443655"
"X.1.18";"185.255571842";"184.939159155";"184.318503499";"185.73221916";"184.622746468";"185.127789795";"185.032460332";"184.939159155";"185.677455425";"184.845857978";"185.255571842";"184.701849639";"185.219062686";"184.66736877";"184.728217363";"185.093308926";"185.543588519"
"X.1.19";"184.367182374";"183.987892807";"185.665285707";"184.947272301";"184.728217363";"185.391467035";"184.590293884";"185.549673378";"184.776896238";"184.8276034";"185.271798134";"184.638972759";"185.267741561";"184.878310561";"185.064912915";"185.101422071";"185.612550259"
"X.1.20";"184.675481915";"179.969857335";"184.350956082";"185.397551894";"184.655199051";"185.969528675";"185.645002842";"185.797124326";"184.675481915";"185.152129233";"184.691708207";"185.160242379";"184.829631686";"184.795150816";"184.797179103";"184.709962785";"185.202836394"
"X.1.21";"181.219281793";"180.458674371";"184.626803041";"185.642974555";"185.137931228";"185.192694962";"185.202836394";"185.154157519";"185.527362227";"184.805292249";"185.40566504";"185.525333941";"185.884340644";"185.338731587";"185.08519578";"185.099393785";"184.744443655"
"X.1.22";"183.194832802";"176.243895113";"184.79312253";"184.249541759";"186.08716929";"185.381325603";"185.543588519";"185.11967665";"184.371238947";"185.448259056";"185.304250717";"185.091280639";"185.239345551";"185.389438748";"184.318503499";"185.383353889";"185.081139207"
"X.1.23";"183.774922729";"180.472872376";"183.86011076";"185.227175832";"184.72416079";"184.732273936";"185.117648363";"186.056744993";"184.728217363";"185.192694962";"184.79312253";"184.701849639";"185.563871384";"184.547699869";"185.219062686";"184.768783092";"185.150100946"
"X.1.24";"186.784899831";"180.610795856";"185.442174196";"185.391467035";"185.580097675";"184.880338848";"185.543588519";"185.748445451";"185.267741561";"184.939159155";"185.202836394";"185.62877655";"185.170383811";"184.699821353";"185.036516905";"184.728217363";"185.064912915"
"X.1.25";"185.271798134";"184.137986004";"185.288024426";"185.797124326";"185.543588519";"185.833633482";"185.559814811";"185.320477009";"185.032460332";"185.237317264";"185.373212457";"185.058828056";"185.576041102";"185.671370566";"185.101422071";"184.795150816";"185.117648363"
"X.1.26";"184.776896238";"185.738304019";"184.813405395";"184.140014291";"186.289997935";"184.904678285";"185.559814811";"185.772784889";"185.223119259";"185.21094954";"184.675481915";"184.726189077";"184.979724884";"185.162270665";"185.223119259";"185.101422071";"185.048686624"
"X.1.27";"185.62877655";"183.916902781";"183.912846208";"184.590293884";"184.610576749";"185.588210821";"184.760669947";"185.17646867";"185.117648363";"185.277882993";"185.576041102";"184.795150816";"185.645002842";"185.578069389";"184.79312253";"185.178496957";"184.813405395"
"X.1.28";"182.618799448";"185.389438748";"185.081139207";"184.709962785";"185.693681717";"184.190721452";"184.776896238";"184.750528514";"184.809348822";"184.66736877";"184.334729791";"184.37529552";"185.032460332";"184.659255624";"185.645002842";"184.819490254";"184.760669947"
"X.1.29";"185.576041102";"180.04693222";"185.170383811";"184.847886264";"185.62877655";"183.754639864";"185.068969488";"184.886423707";"185.133874655";"185.868114352";"185.251515269";"184.428030968";"185.150100946";"185.610521972";"185.202836394";"184.750528514";"185.186610103"
"X.1.30";"184.79312253";"180.292354882";"184.740387082";"184.421946108";"185.032460332";"185.042601764";"185.47462678";"185.178496957";"185.665285707";"184.979724884";"184.691708207";"184.547699869";"185.235288978";"185.178496957";"185.677455425";"185.154157519";"184.350956082"
"X.1.31";"184.622746468";"178.965855539";"185.271798134";"184.486851275";"184.675481915";"184.79312253";"185.000007749";"184.634916186";"184.878310561";"185.263684988";"184.72416079";"184.742415369";"185.186610103";"185.125761509";"184.809348822";"185.602408826";"184.691708207"
"X.1.32";"175.519796848";"185.356986165";"185.730190873";"184.454398692";"185.101422071";"185.133874655";"185.559814811";"185.125761509";"185.101422071";"185.058828056";"185.048686624";"184.6328879";"185.288024426";"184.718075931";"184.675481915";"184.920904577";"184.659255624"
"X.1.33";"185.01623404";"184.249541759";"185.612550259";"185.567927957";"184.350956082";"184.742415369";"184.707934499";"185.178496957";"186.054716706";"184.8276034";"184.947272301";"185.008120894";"185.511135936";"185.160242379";"184.744443655";"185.655144274";"185.442174196"
"X.1.34";"185.937076092";"180.107780814";"184.350956082";"184.734302223";"184.728217363";"185.117648363";"185.068969488";"184.359069228";"184.69576478";"184.853971124";"184.69576478";"184.949300587";"184.675481915";"184.85599941";"184.622746468";"184.752556801";"185.101422071"
"X.1.35";"185.219062686";"186.004009545";"184.675481915";"185.594295681";"185.219062686";"185.152129233";"185.580097675";"185.813350618";"185.117648363";"184.547699869";"184.711991072";"184.235343754";"186.038490415";"184.718075931";"185.235288978";"184.608548462";"185.490853071"
"X.1.36";"184.164353728";"184.606520176";"184.249541759";"185.391467035";"185.08519578";"184.59840703";"185.255571842";"184.929017723";"185.202836394";"184.539586723";"184.711991072";"184.675481915";"184.744443655";"184.965526879";"184.233315468";"185.221090972";"185.523305655"
"X.1.37";"184.196806312";"180.72843647";"185.08519578";"184.486851275";"184.947272301";"184.811377108";"185.202836394";"185.545616806";"184.760669947";"184.709962785";"185.559814811";"185.146044374";"185.507079363";"185.135902941";"184.711991072";"185.229204118";"185.117648363"
"X.1.38";"183.823601604";"185.194723248";"186.050660133";"186.180470467";"184.265768051";"184.963498592";"184.643029332";"184.553784728";"185.223119259";"185.168355525";"184.691708207";"185.158214092";"184.79312253";"184.939159155";"185.288024426";"185.17646867";"185.048686624"
"X.1.39";"185.048686624";"185.63486141";"185.709908009";"184.718075931";"185.507079363";"185.221090972";"185.101422071";"185.328590155";"184.776896238";"185.330618441";"185.239345551";"185.152129233";"185.170383811";"185.399580181";"184.711991072";"184.691708207";"185.117648363"
"X.1.40";"185.985754967";"180.403910637";"184.878310561";"185.158214092";"184.845857978";"184.912791431";"184.622746468";"184.973640025";"185.133874655";"185.673398852";"184.760669947";"185.40566504";"184.86208427";"184.707934499";"185.166327238";"184.920904577";"185.133874655"
"X.1.41";"186.736220956";"185.389438748";"185.523305655";"184.284022629";"184.809348822";"184.837744832";"185.170383811";"184.86208427";"184.963498592";"184.742415369";"185.081139207";"184.955385447";"186.050660133";"185.253543556";"185.101422071";"185.083167493";"184.776896238"
"X.1.42";"184.606520176";"185.166327238";"186.001981258";"184.933074296";"186.001981258";"184.707934499";"184.711991072";"185.620663404";"185.543588519";"185.764671743";"184.436144114";"184.643029332";"185.186610103";"185.346844733";"184.505105853";"185.194723248";"184.707934499"
"X.1.43";"185.681511998";"184.6328879";"185.150100946";"185.807265759";"185.117648363";"185.330618441";"184.86208427";"184.736330509";"185.150100946";"185.458400488";"185.150100946";"184.795150816";"185.170383811";"184.922932863";"184.728217363";"184.675481915";"184.691708207"
"X.1.44";"184.144070864";"185.432032764";"185.202836394";"183.586292088";"185.523305655";"185.774813175";"185.255571842";"184.574067593";"184.707934499";"185.125761509";"184.760669947";"184.920904577";"184.760669947";"185.219062686";"185.592267394";"184.539586723";"185.150100946"
"X.1.45";"185.150100946";"184.267796338";"186.001981258";"184.870197415";"185.219062686";"184.98175317";"185.166327238";"184.281994343";"185.064912915";"184.785009384";"184.809348822";"184.785009384";"184.79312253";"184.904678285";"183.685678124";"185.144016087";"185.154157519"
"X.1.46";"186.939049602";"184.709962785";"185.101422071";"184.294164062";"185.117648363";"185.797124326";"185.186610103";"185.569956243";"184.878310561";"185.21094954";"184.809348822";"184.912791431";"185.101422071";"185.24543041";"184.711991072";"184.904678285";"184.606520176"
"X.1.47";"185.677455425";"184.320531785";"185.649059415";"185.999952972";"184.127844572";"184.811377108";"185.69773829";"184.557841301";"185.101422071";"185.034488618";"185.150100946";"184.805292249";"184.776896238";"185.24543041";"185.202836394";"184.728217363";"185.08519578"
"X.1.48";"184.371238947";"184.98175317";"185.62877655";"185.188638389";"184.845857978";"184.537558436";"185.170383811";"185.034488618";"185.166327238";"184.494964421";"185.543588519";"184.496992707";"185.665285707";"185.024347186";"184.72416079";"184.965526879";"185.661229134"
"X.1.49";"184.809348822";"184.334729791";"186.549618602";"183.245539963";"185.150100946";"185.150100946";"184.829631686";"185.797124326";"185.490853071";"184.57001102";"185.117648363";"185.186610103";"184.711991072";"184.750528514";"184.707934499";"185.535475373";"185.186610103"
"X.1.50";"185.223119259";"184.267796338";"184.302277207";"184.975668311";"184.691708207";"185.509107649";"185.543588519";"184.766754806";"184.728217363";"184.750528514";"185.154157519";"185.101422071";"184.269824624";"184.886423707";"184.622746468";"185.730190873";"185.154157519"
"X.1.51";"184.728217363";"184.572039306";"185.101422071";"185.212977827";"185.064912915";"185.133874655";"185.576041102";"184.963498592";"185.681511998";"185.219062686";"185.170383811";"185.040573478";"184.744443655";"185.356986165";"185.527362227";"184.963498592";"184.740387082"
"X.1.52";"184.553784728";"185.261656702";"184.131901145";"184.920904577";"185.101422071";"185.144016087";"185.559814811";"184.931046009";"185.166327238";"185.235288978";"185.985754967";"185.17646867";"185.219062686";"184.86208427";"185.949245811";"185.322505295";"185.064912915"
"X.1.53";"184.659255624";"184.760669947";"184.776896238";"185.133874655";"184.655199051";"185.158214092";"185.559814811";"185.363071024";"184.760669947";"185.141987801";"185.543588519";"185.024347186";"185.356986165";"184.75864166";"184.675481915";"184.922932863";"185.000007749"
"X.1.54";"183.839827895";"174.450889885";"184.659255624";"186.204809904";"184.707934499";"185.551701665";"184.691708207";"185.144016087";"185.69773829";"184.776896238";"184.350956082";"185.075054348";"184.72416079";"185.058828056";"185.032460332";"185.109535217";"184.776896238"
"X.1.55";"185.219062686";"178.85632807";"184.217089176";"185.363071024";"185.202836394";"184.880338848";"184.200862885";"185.348873019";"185.101422071";"185.40566504";"184.744443655";"184.768783092";"184.760669947";"185.048686624";"184.622746468";"184.768783092";"184.760669947"
"X.1.56";"187.024237633";"186.835606992";"186.496883154";"185.841746628";"184.707934499";"184.947272301";"184.371238947";"185.202836394";"185.101422071";"185.27991128";"184.760669947";"185.186610103";"185.170383811";"185.152129233";"184.302277207";"184.66736877";"185.507079363"
"X.1.57";"185.969528675";"184.622746468";"184.829631686";"184.462511837";"184.610576749";"184.86208427";"184.707934499";"184.973640025";"184.675481915";"185.032460332";"184.845857978";"185.535475373";"185.592267394";"184.716047645";"184.691708207";"184.691708207";"185.117648363"
"X.1.58";"185.202836394";"184.565954447";"185.08519578";"186.231177628";"184.606520176";"185.602408826";"185.596323967";"184.701849639";"184.760669947";"185.032460332";"185.154157519";"184.914819717";"185.219062686";"185.24543041";"184.728217363";"185.490853071";"184.711991072"
"X.1.59";"183.79114902";"185.194723248";"184.541615009";"186.429949701";"185.478683352";"184.801235676";"184.797179103";"185.091280639";"185.101422071";"185.144016087";"185.052743196";"185.304250717";"185.01623404";"185.058828056";"184.760669947";"185.058828056";"184.643029332"
"X.1.60";"185.320477009";"185.152129233";"185.559814811";"185.125761509";"185.186610103";"184.624774754";"185.235288978";"184.86208427";"184.813405395";"185.202836394";"185.239345551";"184.691708207";"185.08519578";"185.109535217";"185.186610103";"185.69773829";"185.08519578"
"X.1.61";"185.068969488";"186.811267555";"184.643029332";"184.452370405";"185.081139207";"185.109535217";"185.137931228";"185.432032764";"185.052743196";"184.835716546";"185.202836394";"184.971611738";"184.86208427";"185.545616806";"184.164353728";"184.98175317";"184.760669947"
"X.1.62";"186.460373998";"180.43636322";"185.048686624";"184.641001046";"184.707934499";"185.610521972";"185.133874655";"185.227175832";"184.86208427";"185.21094954";"185.47462678";"185.21094954";"184.659255624";"184.691708207";"184.148127437";"185.01623404";"184.606520176"
"X.1.63";"185.137931228";"186.08716929";"185.202836394";"185.040573478";"184.659255624";"185.705851436";"185.527362227";"185.557786524";"184.744443655";"185.08519578";"185.624719977";"184.742415369";"185.137931228";"185.056799769";"177.000445962";"185.056799769";"184.72416079"
"X.1.64";"186.955275893";"184.259683192";"184.72416079";"184.454398692";"185.048686624";"184.914819717";"184.249541759";"184.86208427";"185.507079363";"184.701849639";"185.576041102";"185.160242379";"185.064912915";"184.685623348";"183.519358635";"185.186610103";"185.170383811"
"X.1.65";"186.496883154";"184.377323806";"185.117648363";"185.194723248";"185.219062686";"185.296137571";"184.213032603";"185.407693326";"185.150100946";"185.17646867";"185.507079363";"184.750528514";"185.048686624";"185.083167493";"175.454891682";"185.184581816";"185.117648363"
"X.1.66";"185.596323967";"180.363344908";"184.878310561";"184.318503499";"185.868114352";"184.547699869";"184.217089176";"184.922932863";"185.186610103";"185.60038054";"185.032460332";"184.624774754";"183.482849479";"184.675481915";"184.18058002";"184.718075931";"184.744443655"
"X.1.67";"184.776896238";"185.229204118";"185.150100946";"185.332646728";"185.133874655";"184.947272301";"185.186610103";"185.365099311";"185.815378904";"185.186610103";"185.133874655";"185.356986165";"184.200862885";"184.66736877";"184.740387082";"185.117648363";"185.133874655"
"X.1.68";"185.064912915";"184.718075931";"185.202836394";"186.004009545";"185.154157519";"184.379352093";"185.369155884";"184.870197415";"184.728217363";"185.626748264";"184.691708207";"184.957413733";"184.249541759";"184.675481915";"184.776896238";"184.945244014";"184.728217363"
"X.1.69";"186.01820755";"186.028348982";"184.675481915";"185.314392149";"185.064912915";"184.592322171";"184.744443655";"184.787037671";"185.117648363";"184.752556801";"185.000007749";"184.860055983";"184.760669947";"184.701849639";"185.032460332";"185.47462678";"185.01623404"
"X.1.70";"185.064912915";"185.610521972";"184.610576749";"185.21094954";"184.281994343";"185.825520337";"184.622746468";"186.223064482";"185.117648363";"185.109535217";"185.081139207";"185.178496957";"184.40369153";"184.622746468";"185.563871384";"184.957413733";"185.490853071"
"X.1.71";"184.744443655";"185.549673378";"184.350956082";"184.499020994";"184.691708207";"184.267796338";"185.064912915";"184.669397056";"185.117648363";"185.813350618";"185.543588519";"185.263684988";"184.610576749";"185.075054348";"185.048686624";"185.109535217";"184.707934499"
"X.1.72";"184.707934499";"178.142371237";"185.596323967";"184.886423707";"185.150100946";"185.144016087";"185.612550259";"184.922932863";"185.527362227";"184.920904577";"184.691708207";"185.381325603";"178.566283107";"184.691708207";"184.622746468";"184.683595061";"184.760669947"
"X.1.73";"184.127844572";"184.989866316";"186.172357321";"185.330618441";"184.72416079";"185.397551894";"184.707934499";"185.53750366";"184.878310561";"185.594295681";"184.72416079";"184.819490254";"184.728217363";"185.379297316";"185.150100946";"184.912791431";"185.523305655"
"X.1.74";"185.661229134";"184.140014291";"184.233315468";"185.018262327";"184.740387082";"185.229204118";"185.064912915";"185.559814811";"184.643029332";"184.787037671";"184.72416079";"185.322505295";"183.316529989";"184.920904577";"185.202836394";"184.726189077";"184.659255624"
"X.1.75";"185.271798134";"185.930991232";"184.265768051";"185.186610103";"184.659255624";"185.391467035";"184.760669947";"185.077082634";"184.691708207";"185.219062686";"184.691708207";"185.083167493";"184.643029332";"185.081139207";"184.574067593";"184.939159155";"184.334729791"
"X.1.76";"184.882367134";"186.085141003";"183.839827895";"184.454398692";"185.202836394";"185.46854192";"185.271798134";"185.415806472";"185.304250717";"184.795150816";"184.86208427";"185.077082634";"184.557841301";"184.677510202";"184.744443655";"185.533447087";"185.117648363"
"X.1.77";"183.839827895";"185.397551894";"185.186610103";"184.600435317";"184.281994343";"185.44014591";"185.064912915";"184.624774754";"185.137931228";"185.373212457";"185.117648363";"185.008120894";"184.675481915";"185.348873019";"184.79312253";"184.914819717";"184.691708207"
"X.1.78";"186.273771644";"184.310390353";"185.064912915";"184.768783092";"184.72416079";"179.937404752";"185.389438748";"184.718075931";"185.730190873";"184.709962785";"185.117648363";"184.878310561";"185.592267394";"184.864112556";"185.068969488";"184.718075931";"185.101422071"
"X.1.79";"185.101422071";"184.989866316";"184.707934499";"184.267796338";"184.963498592";"185.847831488";"185.133874655";"185.247458696";"184.910763144";"184.480766416";"184.756613374";"185.397551894";"185.507079363";"184.872225702";"184.643029332";"185.11967665";"184.86208427"
"X.1.80";"184.675481915";"179.842075288";"184.845857978";"185.066941202";"185.425947905";"185.421891332";"185.081139207";"185.162270665";"185.239345551";"185.111563504";"184.590293884";"184.665340483";"185.202836394";"184.395578384";"184.622746468";"185.296137571";"184.675481915"
"X.1.81";"183.839827895";"185.636889696";"185.068969488";"185.330618441";"184.334729791";"185.109535217";"184.776896238";"185.509107649";"184.744443655";"184.521332145";"184.622746468";"185.107506931";"184.69576478";"185.048686624";"184.622746468";"185.24543041";"184.659255624"
"X.1.82";"184.148127437";"185.194723248";"184.744443655";"184.231287181";"186.022264123";"185.47462678";"185.150100946";"185.320477009";"185.709908009";"185.421891332";"185.101422071";"184.137986004";"184.728217363";"185.346844733";"184.728217363";"185.133874655";"185.117648363"
"X.1.83";"185.933019519";"184.864112556";"184.728217363";"185.221090972";"184.675481915";"185.391467035";"184.399634957";"184.870197415";"184.728217363";"184.872225702";"184.691708207";"185.166327238";"185.202836394";"184.691708207";"185.064912915";"185.091280639";"184.86208427"
"X.1.84";"185.048686624";"185.24543041";"184.217089176";"185.066941202";"184.659255624";"186.843720138";"185.219062686";"184.843829691";"184.744443655";"184.837744832";"184.963498592";"184.878310561";"184.691708207";"184.750528514";"184.744443655";"185.24543041";"185.000007749"
"X.1.85";"184.776896238";"186.206838191";"185.490853071";"185.219062686";"184.659255624";"185.578069389";"184.659255624";"185.993868113";"185.117648363";"185.567927957";"185.133874655";"184.785009384";"185.186610103";"184.651142478";"184.659255624";"185.237317264";"185.166327238"
"X.1.86";"185.154157519";"186.050660133";"184.164353728";"185.841746628";"184.675481915";"184.920904577";"185.239345551";"185.133874655";"184.626803041";"184.963498592";"185.154157519";"185.578069389";"185.527362227";"184.880338848";"185.01623404";"185.330618441";"185.511135936"
"X.1.87";"185.730190873";"184.870197415";"185.048686624";"184.920904577";"184.57001102";"186.316365659";"185.235288978";"185.184581816";"184.760669947";"184.947272301";"185.133874655";"184.939159155";"184.184636593";"184.612605035";"184.776896238";"185.507079363";"185.40566504"
"X.1.88";"183.636999249";"184.742415369";"185.62877655";"184.707934499";"184.675481915";"184.750528514";"184.47265327";"185.144016087";"185.101422071";"184.541615009";"184.79312253";"185.500994503";"185.490853071";"184.649114192";"185.559814811";"184.59840703";"185.117648363"
"X.1.89";"187.227066278";"185.620663404";"184.249541759";"185.05071491";"185.08519578";"185.306279004";"185.150100946";"185.383353889";"184.776896238";"185.346844733";"185.048686624";"184.957413733";"185.117648363";"183.559924364";"185.101422071";"184.870197415";"185.576041102"
"X.1.90";"186.188583612";"184.947272301";"184.776896238";"184.709962785";"184.675481915";"184.665340483";"185.235288978";"185.381325603";"185.62877655";"184.736330509";"184.707934499";"185.373212457";"185.937076092";"184.624774754";"184.776896238";"184.691708207";"184.983781457"
"X.1.91";"184.606520176";"186.273771644";"184.318503499";"183.841856182";"185.170383811";"185.263684988";"185.101422071";"185.594295681";"185.507079363";"184.98175317";"184.606520176";"185.610521972";"185.032460332";"178.032843769";"184.728217363";"184.872225702";"184.72416079"
"X.1.92";"184.164353728";"185.184581816";"186.363016248";"185.186610103";"184.355012655";"184.914819717";"184.951328874";"184.56392616";"184.728217363";"184.949300587";"185.170383811";"184.931046009";"185.032460332";"183.95138365";"185.352929592";"184.718075931";"184.740387082"
"X.1.93";"185.01623404";"180.312637746";"184.829631686";"185.576041102";"185.255571842";"185.032460332";"185.507079363";"184.726189077";"184.728217363";"185.239345551";"184.845857978";"185.594295681";"185.202836394";"184.963498592";"185.40566504";"184.608548462";"184.711991072"
"X.1.94";"184.643029332";"185.046658337";"184.760669947";"185.543588519";"185.288024426";"185.375240743";"185.235288978";"184.50713414";"185.186610103";"185.083167493";"322.578678131";"185.144016087";"185.612550259";"185.314392149";"185.170383811";"184.34081465";"185.01623404"
"X.1.95";"183.876337051";"182.164463282";"185.933019519";"184.880338848";"185.081139207";"185.348873019";"185.052743196";"184.336758077";"184.813405395";"185.791039467";"185.624719977";"185.27991128";"185.117648363";"185.093308926";"185.219062686";"184.683595061";"185.543588519"
"X.1.96";"184.711991072";"179.614907205";"185.576041102";"184.190721452";"184.691708207";"184.089307129";"185.255571842";"184.616661608";"185.117648363";"185.150100946";"185.133874655";"185.111563504";"185.052743196";"185.304250717";"184.622746468";"185.006092608";""
"X.1.97";"184.728217363";"184.973640025";"184.707934499";"184.454398692";"185.186610103";"185.993868113";"183.908789635";"185.133874655";"184.606520176";"184.768783092";"184.744443655";"185.040573478";"185.032460332";"184.462511837";"185.202836394";"184.797179103";""
"X.1.98";"186.40763855";"182.33686763";"185.507079363";"185.535475373";"184.233315468";"184.241428614";"185.677455425";"179.793396413";"185.746417165";"184.957413733";"184.728217363";"184.555813015";"185.18255353";"185.330618441";"184.57001102";"184.659255624";""
"X.1.99";"184.334729791";"181.11178261";"185.101422071";"184.872225702";"185.036516905";"184.531473577";"185.202836394";"184.931046009";"185.081139207";"184.592322171";"184.776896238";"184.843829691";"184.744443655";"185.348873019";"184.675481915";"184.742415369";""
"X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
