0;162.453575492;163.390643835;162.997156262;163.901772022;162.628008127;164.429126501;164.327712178;163.013382554;162.692913294;164.988933563;162.916024804;163.114796877;163.386587262;164.141109824;162.964703679;164.291203022;163.337908387;162.916024804;162.879515648;162.948477387;164.157336116;162.863289356;162.149332523;162.863289356;162.794327617;162.486028075;162.830836773;163.832810283;163.747622252;161.841032982;162.287256002;162.542820096;162.368387461;163.747622252;164.562993407;162.778101325;162.778101325;162.794327617;162.417066336;161.759901524;163.629981637;163.629981637;162.709139585;163.593472481;163.577246189;159.747841358;163.966677189;163.187815189;163.114796877;162.303482294;162.778101325;164.425069928;163.512341022;163.613755345;162.863289356;162.778101325;162.112823367;162.28319943;163.917998314;162.230463982;161.958673596;163.423096418;164.631955147;163.986960053;163.865262866;164.068091512;162.725365877;163.646207929;163.151306033;161.857259274;162.911968231;163.646207929;162.709139585;162.319708586;162.916024804;164.019412637;163.305455804;162.335934877;161.808580399;162.879515648;162.522537231;163.098570585;163.66243422;163.73139596;162.778101325;162.928194523;164.003186345;164.157336116;161.857259274;162.202067971;161.861315846;163.082344294;162.725365877;162.043861628;162.607725263;164.412900209;163.321682096;163.321682096;163.199984908;162.830836773;
5;163.236494064;161.909994721;162.335934877;163.698943377;164.550823689;163.204041481;161.926221013;163.917998314;162.980929971;163.812527418;163.492058158;164.327712178;164.680634022;164.753652334;162.50631094;164.104600668;165.090347886;161.909994721;162.486028075;163.715169668;162.948477387;162.027635336;162.372444034;164.307429314;163.406870127;163.04989171;161.978956461;163.390643835;166.757599354;162.575272679;241.082128286;164.291203022;163.492058158;163.796301126;164.311485887;163.73139596;162.964703679;162.587442398;162.14527595;162.587442398;162.331878304;164.27497673;163.475831866;162.623951554;162.50631094;164.631955147;162.453575492;162.043861628;162.129049659;163.406870127;162.843006492;163.390643835;164.717143178;162.064144492;162.522537231;164.700916886;162.352161169;162.916024804;163.901772022;163.427152991;163.800357699;163.220267773;164.258750439;165.074121594;164.222241282;162.469801784;164.648181438;161.926221013;163.881489158;162.230463982;162.080370784;163.763848543;161.670656919;164.222241282;161.89376843;163.767905116;162.542820096;163.082344294;163.325738668;163.763848543;163.066118002;162.964703679;163.832810283;162.490084648;162.490084648;162.368387461;162.352161169;162.319708586;162.847063065;162.356217742;163.816583991;163.66243422;162.080370784;162.319708586;163.289229512;163.252720356;162.299425721;163.390643835;162.080370784;163.220267773;
10;162.640177846;163.135079741;164.514314532;163.390643835;164.749595761;161.82480669;164.104600668;162.266973138;161.89376843;162.234520555;161.759901524;161.82480669;162.368387461;162.181785107;161.808580399;164.019412637;164.786104918;164.088374376;163.544793606;164.003186345;164.035638928;161.82480669;162.672630429;164.412900209;162.692913294;162.75781846;164.088374376;163.151306033;161.926221013;161.857259274;164.818557501;163.646207929;162.89574194;163.66243422;161.788297534;162.89574194;164.498088241;162.149332523;163.204041481;162.741592169;162.352161169;164.055921793;162.778101325;162.640177846;162.75781846;163.492058158;163.982903481;162.335934877;163.609698772;162.774044752;162.847063065;162.299425721;163.678660512;163.982903481;162.417066336;163.220267773;162.064144492;161.995182753;162.810553908;162.335934877;162.916024804;163.34196496;162.911968231;161.690939784;162.149332523;164.66440773;162.761875033;163.236494064;163.204041481;161.82480669;162.778101325;163.73139596;161.995182753;164.546767116;162.112823367;162.421122909;164.631955147;164.749595761;163.151306033;163.406870127;162.741592169;161.841032982;162.640177846;162.404896617;162.303482294;163.73139596;164.157336116;161.942447305;163.390643835;164.291203022;162.50631094;162.575272679;164.546767116;162.027635336;162.964703679;163.04989171;163.098570585;163.337908387;161.995182753;162.948477387;
15;162.165558815;162.587442398;164.104600668;162.4373492;162.368387461;163.135079741;164.258750439;164.226297855;163.001212835;163.629981637;164.173562407;164.376391053;164.408843637;164.27497673;163.406870127;162.623951554;164.652238011;164.615728855;163.390643835;164.631955147;161.978956461;163.001212835;162.794327617;163.796301126;159.321901202;163.698943377;162.847063065;163.167532325;162.319708586;163.966677189;162.859232783;164.222241282;164.530540824;162.368387461;163.321682096;162.400840044;161.995182753;163.305455804;162.271029711;164.34393847;163.285172939;162.794327617;164.137053251;161.89376843;165.074121594;161.995182753;163.301399231;162.89574194;163.780074835;162.469801784;163.321682096;163.268946648;161.995182753;162.0479182;163.066118002;164.530540824;161.909994721;163.593472481;164.972707272;162.692913294;163.646207929;162.980929971;163.337908387;162.335934877;162.843006492;162.21423769;163.066118002;162.778101325;164.461579084;162.421122909;164.924028397;162.096597075;163.406870127;162.607725263;162.421122909;162.89574194;165.041669011;163.593472481;163.135079741;162.28319943;164.855066657;162.623951554;161.841032982;163.986960053;163.609698772;161.909994721;164.425069928;162.863289356;164.003186345;161.909994721;162.335934877;161.792354107;162.928194523;163.646207929;163.151306033;162.181785107;161.759901524;163.629981637;162.692913294;163.220267773;
20;163.629981637;163.086400867;163.252720356;162.692913294;163.04989171;162.28319943;161.755844951;161.739618659;164.068091512;163.727339387;163.256776929;115.425725698;162.879515648;162.745648742;162.778101325;163.187815189;164.141109824;164.311485887;161.82480669;163.747622252;162.830836773;162.761875033;161.926221013;162.8267802;163.273003221;164.461579084;164.579219699;162.916024804;162.4373492;162.352161169;162.0479182;162.948477387;164.189788699;162.490084648;162.522537231;161.978956461;162.352161169;162.89574194;162.980929971;162.794327617;164.546767116;162.14527595;165.34591198;164.141109824;162.542820096;163.220267773;163.013382554;164.206014991;163.780074835;163.305455804;163.544793606;163.917998314;162.542820096;163.869319439;162.964703679;163.390643835;163.796301126;164.668464303;162.879515648;162.980929971;162.591498971;162.607725263;163.390643835;163.694886804;162.096597075;163.34196496;163.236494064;162.591498971;163.04989171;162.027635336;163.390643835;163.04989171;164.461579084;162.980929971;161.978956461;164.530540824;165.074121594;163.747622252;164.327712178;163.711113095;163.832810283;163.512341022;164.141109824;162.879515648;162.319708586;162.027635336;162.469801784;162.997156262;164.530540824;163.390643835;162.522537231;164.291203022;163.678660512;162.916024804;161.978956461;164.210071564;164.210071564;164.429126501;162.522537231;162.709139585;
25;162.591498971;165.009216428;162.352161169;161.877542138;162.165558815;163.001212835;164.157336116;161.926221013;162.794327617;162.89574194;162.847063065;162.21423769;164.003186345;164.461579084;163.220267773;162.761875033;164.05186522;162.368387461;162.28319943;162.50631094;164.510257959;163.151306033;163.273003221;162.847063065;164.429126501;161.861315846;162.181785107;162.794327617;162.571216106;163.50828445;161.808580399;161.946503878;162.303482294;162.165558815;163.492058158;163.236494064;162.692913294;163.629981637;161.804523826;162.335934877;162.692913294;163.544793606;163.459605575;164.003186345;162.554989815;163.098570585;163.11885345;162.644234419;162.692913294;163.033665419;164.072148085;163.183758616;162.303482294;161.926221013;163.970733762;162.778101325;163.561019897;162.28319943;163.171588898;161.89376843;163.459605575;162.75781846;162.79838419;162.250746846;162.234520555;162.709139585;163.321682096;164.530540824;161.82480669;163.11885345;161.82480669;162.165558815;163.033665419;162.421122909;163.66243422;162.404896617;162.011409044;163.492058158;163.374417543;164.206014991;164.068091512;163.934224606;163.151306033;159.837085962;163.678660512;162.388670325;162.453575492;162.352161169;163.017439127;162.400840044;164.514314532;162.8267802;164.258750439;164.583276272;163.544793606;165.143083334;163.593472481;162.656404138;162.421122909;161.873485565;
30;163.970733762;163.800357699;162.522537231;163.321682096;161.873485565;163.167532325;163.098570585;162.315652013;162.080370784;162.011409044;161.974899888;162.911968231;162.778101325;163.305455804;163.475831866;162.964703679;161.962730169;163.289229512;165.617702365;163.305455804;162.112823367;162.218294263;163.34196496;162.948477387;163.475831866;162.080370784;162.964703679;162.591498971;162.761875033;162.4373492;163.033665419;162.486028075;162.080370784;163.171588898;165.025442719;162.50631094;164.157336116;163.268946648;162.080370784;162.794327617;162.0479182;163.354134679;164.210071564;162.11687994;163.220267773;163.374417543;163.374417543;164.481861949;162.372444034;161.942447305;163.767905116;164.173562407;163.73139596;162.843006492;162.064144492;163.358191252;162.352161169;163.406870127;164.530540824;162.352161169;163.151306033;161.995182753;162.810553908;161.89376843;162.250746846;162.660460711;162.356217742;163.199984908;163.252720356;163.013382554;162.997156262;162.8267802;162.948477387;161.942447305;164.035638928;163.50828445;162.165558815;164.924028397;162.692913294;161.755844951;162.725365877;162.421122909;162.319708586;162.299425721;162.218294263;162.980929971;165.005159855;161.808580399;162.250746846;163.66243422;163.151306033;162.129049659;161.788297534;163.849036574;164.631955147;162.165558815;161.654430628;161.962730169;162.591498971;165.978737354;
35;163.236494064;162.745648742;165.398647428;162.230463982;163.321682096;161.638204336;163.577246189;163.236494064;162.725365877;162.400840044;162.676687002;162.149332523;162.096597075;163.04989171;162.230463982;164.019412637;164.072148085;164.003186345;163.11885345;163.098570585;162.202067971;163.934224606;162.250746846;162.980929971;164.327712178;164.579219699;163.11885345;164.461579084;164.465635657;163.033665419;162.21423769;162.774044752;162.830836773;162.266973138;162.287256002;163.609698772;162.469801784;162.303482294;164.514314532;163.950450897;162.250746846;162.863289356;162.847063065;163.220267773;161.857259274;165.009216428;162.60366869;163.66243422;163.135079741;162.388670325;162.863289356;161.788297534;162.335934877;163.711113095;163.646207929;162.384613752;164.445352793;164.425069928;163.305455804;162.847063065;162.932251096;162.303482294;164.035638928;162.911968231;163.268946648;162.778101325;163.066118002;161.877542138;162.72942245;162.916024804;162.384613752;163.609698772;163.865262866;163.678660512;162.384613752;162.554989815;162.964703679;163.747622252;164.258750439;163.698943377;162.847063065;163.43932271;162.692913294;163.544793606;162.911968231;164.684690595;161.909994721;164.611672282;162.4373492;164.599502563;163.747622252;162.591498971;161.978956461;163.816583991;161.958673596;162.522537231;162.571216106;163.869319439;163.678660512;161.905938148;
40;162.830836773;164.919971824;163.73139596;162.607725263;163.358191252;162.473858356;162.948477387;163.390643835;162.778101325;163.694886804;164.530540824;162.384613752;161.788297534;162.778101325;161.788297534;162.404896617;164.104600668;162.352161169;162.064144492;163.337908387;164.477805376;162.863289356;163.528567314;162.879515648;162.28319943;163.970733762;162.745648742;163.646207929;162.676687002;164.12082696;163.220267773;162.303482294;163.135079741;162.794327617;163.066118002;162.352161169;163.475831866;163.577246189;162.21423769;164.173562407;161.82480669;161.873485565;163.849036574;162.4373492;161.873485565;161.82480669;162.741592169;161.723392367;162.644234419;164.408843637;161.634147763;164.494031668;162.181785107;164.408843637;162.741592169;163.50828445;163.098570585;162.575272679;161.808580399;161.857259274;163.220267773;163.374417543;164.356108189;161.755844951;161.739618659;163.512341022;163.524510741;164.408843637;162.607725263;162.89574194;163.001212835;162.250746846;164.104600668;163.102627158;161.739618659;162.522537231;162.692913294;162.778101325;163.102627158;163.646207929;164.291203022;162.591498971;162.315652013;162.538763523;163.917998314;163.204041481;162.676687002;163.50828445;161.755844951;161.857259274;161.82480669;161.845089555;162.198011398;162.810553908;162.112823367;163.102627158;163.102627158;162.234520555;162.165558815;163.475831866;
45;163.678660512;162.165558815;162.384613752;163.017439127;162.980929971;163.780074835;161.772071242;163.832810283;162.692913294;163.252720356;162.89574194;162.709139585;161.845089555;162.352161169;162.266973138;163.763848543;162.315652013;162.79838419;161.89376843;162.692913294;161.942447305;162.299425721;163.780074835;162.384613752;162.542820096;162.299425721;162.964703679;164.631955147;164.088374376;162.4373492;163.252720356;162.404896617;163.204041481;162.928194523;162.778101325;161.877542138;162.335934877;162.080370784;162.863289356;162.656404138;163.66243422;162.4373492;163.220267773;161.962730169;161.89376843;162.490084648;161.946503878;162.031691909;164.189788699;164.226297855;162.453575492;161.909994721;165.041669011;163.678660512;163.682717085;162.060087919;164.222241282;164.157336116;164.035638928;163.252720356;161.889711857;163.4109267;162.745648742;162.932251096;163.374417543;163.678660512;163.34196496;164.019412637;162.640177846;163.443379283;163.694886804;165.143083334;162.181785107;164.104600668;160.579438806;162.28319943;162.303482294;162.75781846;162.234520555;163.727339387;162.692913294;162.522537231;163.273003221;163.625925064;162.607725263;163.236494064;161.877542138;163.544793606;161.82480669;161.808580399;162.490084648;163.033665419;162.250746846;163.167532325;163.082344294;162.027635336;163.849036574;163.66243422;162.149332523;164.12082696;
50;161.808580399;162.4373492;163.682717085;162.713196158;163.50828445;163.305455804;163.561019897;162.709139585;162.202067971;162.198011398;162.72942245;162.266973138;164.055921793;162.623951554;164.919971824;161.707166076;162.28319943;163.970733762;162.725365877;162.404896617;164.104600668;163.970733762;162.266973138;163.986960053;164.327712178;162.404896617;162.080370784;163.066118002;163.171588898;162.794327617;161.776127815;163.934224606;162.287256002;162.676687002;162.372444034;162.575272679;162.266973138;162.112823367;162.709139585;162.676687002;162.660460711;162.709139585;164.834783792;162.287256002;164.919971824;162.607725263;162.287256002;162.778101325;164.360164762;162.21423769;163.289229512;165.34591198;161.690939784;162.4373492;163.082344294;162.725365877;161.82480669;163.374417543;162.843006492;162.997156262;163.204041481;162.404896617;162.230463982;162.28319943;164.104600668;163.017439127;162.352161169;162.4373492;161.909994721;164.717143178;163.114796877;165.143083334;161.926221013;164.003186345;162.814610481;164.141109824;163.04989171;163.236494064;162.388670325;163.73139596;162.847063065;162.660460711;163.220267773;162.911968231;162.490084648;163.285172939;162.352161169;162.745648742;162.879515648;162.948477387;161.958673596;162.246690273;164.769878626;164.648181438;162.250746846;163.524510741;164.494031668;164.019412637;162.469801784;162.21423769;
55;162.522537231;163.966677189;162.709139585;163.646207929;162.368387461;162.794327617;164.137053251;162.064144492;162.559046388;163.678660512;162.916024804;162.28319943;162.863289356;162.794327617;163.325738668;163.204041481;161.89376843;163.390643835;162.794327617;162.28319943;161.995182753;163.240550637;162.404896617;162.830836773;163.66243422;164.988933563;162.080370784;161.958673596;162.879515648;163.780074835;161.962730169;162.911968231;162.027635336;162.404896617;163.784131408;162.847063065;162.149332523;164.137053251;162.064144492;162.149332523;162.490084648;162.709139585;162.486028075;162.060087919;162.607725263;162.469801784;162.830836773;161.930277586;164.717143178;162.964703679;163.001212835;162.421122909;164.238467574;162.916024804;163.37036097;162.8267802;163.390643835;162.043861628;163.528567314;162.948477387;145.371346951;164.477805376;163.938281178;163.04989171;164.749595761;163.816583991;162.660460711;162.400840044;164.124883533;162.778101325;163.358191252;166.437130094;163.796301126;164.631955147;163.832810283;162.575272679;162.980929971;162.096597075;162.368387461;162.843006492;162.538763523;163.321682096;163.04989171;164.34393847;162.404896617;162.421122909;163.73139596;161.978956461;164.035638928;162.794327617;161.995182753;163.273003221;163.763848543;162.266973138;162.060087919;161.89376843;162.21423769;161.877542138;162.352161169;163.609698772;
60;161.974899888;161.82480669;162.469801784;163.492058158;161.877542138;164.408843637;162.218294263;163.544793606;161.82480669;163.917998314;164.481861949;163.155362606;162.319708586;161.707166076;163.033665419;164.429126501;162.234520555;162.149332523;164.360164762;162.181785107;163.390643835;161.60169518;163.455549002;162.575272679;162.096597075;162.234520555;162.591498971;163.236494064;162.980929971;163.033665419;162.522537231;163.50828445;162.591498971;162.015465617;163.04989171;161.638204336;162.899798512;162.384613752;161.569242597;162.096597075;163.597529054;162.21423769;161.621978045;161.723392367;163.427152991;165.95845449;162.064144492;162.644234419;162.14527595;161.873485565;162.0479182;162.473858356;163.321682096;163.033665419;164.583276272;164.749595761;164.461579084;161.621978045;163.885545731;161.617921472;161.889711857;163.780074835;163.901772022;164.327712178;163.423096418;162.129049659;162.676687002;163.070174575;164.323655605;161.60169518;164.02346921;162.250746846;162.656404138;162.660460711;163.390643835;164.429126501;163.086400867;162.778101325;163.66243422;163.678660512;163.934224606;162.676687002;162.11687994;163.577246189;162.490084648;163.763848543;164.429126501;162.027635336;164.44129622;162.299425721;163.013382554;164.088374376;162.234520555;162.522537231;161.792354107;163.236494064;162.303482294;163.66243422;163.66243422;162.490084648;
65;161.759901524;161.739618659;163.04989171;162.538763523;163.885545731;162.043861628;164.12082696;162.453575492;164.02346921;162.011409044;162.404896617;165.382421136;163.252720356;164.562993407;162.997156262;161.995182753;161.995182753;163.37036097;162.331878304;163.273003221;162.89574194;162.453575492;163.43932271;163.305455804;164.753652334;162.031691909;162.964703679;164.684690595;162.4373492;163.374417543;163.849036574;162.559046388;162.984986544;162.932251096;162.980929971;163.001212835;162.319708586;163.869319439;162.0479182;163.033665419;162.879515648;162.980929971;166.007133365;163.066118002;164.27497673;162.575272679;164.855066657;162.948477387;162.064144492;163.471775293;162.810553908;162.368387461;164.173562407;163.747622252;161.978956461;163.475831866;163.289229512;162.948477387;162.591498971;162.486028075;163.711113095;162.997156262;162.50631094;163.694886804;163.273003221;162.948477387;163.305455804;163.321682096;163.678660512;163.678660512;163.66243422;162.315652013;163.678660512;163.11885345;162.202067971;163.561019897;163.881489158;162.315652013;162.863289356;162.299425721;162.335934877;161.845089555;162.21423769;162.11687994;161.978956461;164.189788699;162.587442398;164.019412637;162.607725263;163.102627158;164.02346921;162.031691909;161.82480669;163.901772022;163.934224606;162.542820096;161.841032982;163.475831866;162.559046388;164.27497673;
70;164.461579084;163.220267773;162.554989815;161.82480669;161.638204336;162.4373492;163.455549002;163.033665419;162.149332523;163.796301126;165.56902349;164.327712178;162.522537231;162.417066336;161.841032982;161.553016305;161.670656919;162.14527595;163.321682096;163.04989171;162.490084648;162.165558815;162.319708586;162.096597075;161.654430628;162.591498971;163.524510741;162.218294263;162.0479182;163.423096418;163.597529054;163.102627158;164.34393847;163.017439127;162.129049659;164.291203022;162.234520555;163.897715449;163.95450747;163.492058158;162.165558815;163.102627158;163.151306033;163.950450897;164.498088241;162.319708586;162.303482294;162.14527595;164.648181438;161.792354107;163.236494064;162.778101325;162.198011398;162.287256002;162.027635336;161.792354107;162.331878304;164.786104918;161.962730169;161.89376843;162.672630429;162.421122909;161.889711857;162.676687002;164.481861949;163.337908387;163.11885345;163.204041481;163.832810283;163.37036097;163.033665419;161.776127815;164.360164762;164.153279543;163.423096418;162.453575492;164.088374376;162.469801784;162.964703679;161.889711857;163.390643835;163.869319439;163.865262866;162.709139585;164.631955147;162.559046388;163.098570585;162.368387461;161.841032982;162.911968231;162.181785107;162.538763523;164.668464303;162.473858356;163.236494064;163.033665419;162.538763523;161.909994721;164.648181438;161.946503878;
75;163.492058158;162.948477387;163.780074835;162.660460711;163.747622252;163.73139596;162.080370784;164.34393847;162.522537231;162.554989815;164.360164762;162.623951554;162.522537231;162.4373492;161.962730169;162.404896617;162.928194523;162.50631094;163.236494064;164.27497673;162.879515648;164.137053251;161.889711857;162.384613752;162.964703679;163.577246189;162.50631094;163.849036574;162.287256002;161.808580399;162.388670325;162.352161169;164.189788699;161.962730169;164.510257959;164.445352793;162.794327617;162.863289356;161.857259274;162.230463982;163.95450747;161.889711857;164.124883533;161.82480669;162.230463982;162.250746846;163.151306033;163.885545731;163.199984908;162.587442398;161.841032982;161.926221013;162.133106232;163.151306033;162.250746846;162.774044752;161.772071242;163.970733762;161.772071242;162.315652013;162.623951554;161.739618659;163.167532325;163.273003221;163.001212835;163.625925064;163.561019897;162.713196158;163.459605575;162.319708586;164.786104918;162.165558815;162.149332523;163.475831866;163.869319439;162.080370784;163.524510741;162.112823367;163.869319439;163.694886804;161.654430628;161.82480669;163.455549002;163.561019897;162.234520555;163.492058158;161.723392367;161.634147763;164.461579084;162.810553908;162.676687002;163.167532325;161.707166076;162.181785107;162.096597075;163.50828445;162.250746846;163.528567314;162.741592169;163.528567314;
